                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4696,                 2.4868,                 1.4546,                0.49837,                0.26551,                0.19369,                0.12799,                 1.6073,                 2.8622,                  1.828,               0.008878,               0.008878,               0.008878
                     36,                 1.5081,                 2.4558,                 1.4907,                 0.4735,                0.29977,                0.21498,                0.14459,                 1.5886,                 2.7495,                 1.7882,               0.008845,               0.008845,               0.008845
                     37,                 1.4589,                 2.3626,                  1.435,                0.49891,                0.23407,                0.19445,                0.11611,                 1.8568,                 2.9586,                 1.9697,               0.008812,               0.008812,               0.008812
                     38,                 1.4929,                 2.3561,                 1.4298,                 0.4837,                0.27774,                0.24058,                0.15714,                 1.6325,                 2.7065,                 1.8324,               0.008779,               0.008779,               0.008779
                     39,                 1.4968,                 2.3436,                 1.4823,                0.56857,                0.23974,                0.24258,                0.16155,                 1.5276,                 2.8021,                  1.748,               0.008746,               0.008746,               0.008746
                     40,                 1.4858,                 2.3178,                 1.4702,                0.47157,                0.29757,                0.25398,                0.16336,                 1.5617,                 2.6415,                 1.7572,               0.008713,               0.008713,               0.008713
                     41,                 1.4591,                 2.2766,                 1.4096,                0.39788,                0.32333,                0.25159,                0.15395,                 1.5677,                 2.8513,                 1.7862,                0.00868,                0.00868,                0.00868
                     42,                 1.4038,                 2.2738,                 1.3656,                0.45151,                0.32141,                0.26247,                0.17537,                 1.5299,                 2.7095,                 1.7471,               0.008647,               0.008647,               0.008647
                     43,                 1.4408,                 2.1957,                   1.44,                0.48908,                0.25919,                0.26331,                0.15978,                 1.6844,                 2.7194,                 1.8236,               0.008614,               0.008614,               0.008614
                     44,                 1.4609,                 2.2077,                 1.4423,                 0.4526,                0.33448,                0.30014,                0.18993,                 1.5667,                 2.6094,                 1.7363,               0.008581,               0.008581,               0.008581
                     45,                 1.3953,                 2.1669,                 1.3636,                0.40306,                0.36343,                0.32407,                0.21797,                 1.5474,                 2.5372,                 1.7148,               0.008548,               0.008548,               0.008548
                     46,                 1.4222,                  2.128,                 1.4318,                0.37685,                0.36748,                0.30945,                0.16836,                 1.7624,                 2.5404,                 1.8913,               0.008515,               0.008515,               0.008515
