                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6305,                 1.0576,                 1.4918,                0.71524,                0.54976,                 0.6148,                0.24632,                 1.9727,                 1.2147,                 1.7389,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.6309,                  1.009,                  1.491,                0.70999,                0.51126,                0.53646,                0.25494,                  1.721,                 1.0612,                 1.5808,               0.008317,               0.008317,               0.008317
                     36,                 1.6298,                 1.0174,                 1.4981,                0.69264,                0.50682,                0.55591,                0.28165,                 1.6796,                 1.1339,                 1.5251,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.5958,                 1.0432,                 1.4845,                0.74479,                0.61044,                0.67152,                0.32376,                 1.7583,                 1.1132,                 1.5882,               0.008218,               0.008218,               0.008218
                     38,                  1.563,                0.97994,                 1.4388,                0.81297,                 0.6004,                0.67532,                0.31199,                 1.6966,                 1.1268,                 1.5393,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.6135,                 1.0621,                 1.4989,                0.69528,                0.60019,                 0.6093,                0.24879,                 1.8593,                 1.2417,                 1.6826,               0.008119,               0.008119,               0.008119
                     40,                 1.6184,                 1.0071,                 1.4712,                0.76219,                0.55221,                0.65633,                0.31696,                 1.7316,                 1.0144,                 1.5644,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.5795,                0.94346,                 1.4449,                0.76422,                0.56426,                0.65964,                0.31574,                 1.7328,                 1.0807,                 1.5602,                0.00802,                0.00802,                0.00802
                     42,                 1.5761,                0.95729,                 1.4222,                0.75866,                 0.5618,                 0.6382,                0.30805,                 1.6604,                 1.1785,                 1.5195,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.5763,                0.95522,                  1.434,                 0.8088,                 0.5261,                0.66553,                0.35188,                 1.5417,                0.97282,                 1.4537,               0.007921,               0.007921,               0.007921
                     44,                 1.6061,                  1.017,                 1.4484,                0.79763,                0.54418,                0.65061,                0.32799,                 1.6402,                 1.0678,                 1.4892,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.5623,                0.94147,                 1.4216,                0.79649,                0.62048,                 0.7063,                0.34475,                 1.6083,                0.99931,                 1.4719,               0.007822,               0.007822,               0.007822
                     46,                 1.5568,                0.93598,                   1.43,                0.84622,                0.62985,                0.72504,                0.27456,                  1.994,                 1.0771,                 1.7559,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.4932,                0.89448,                 1.3927,                0.75887,                0.61847,                 0.6863,                0.31136,                 1.7318,                 1.0706,                 1.5489,               0.007723,               0.007723,               0.007723
